Price,Title,URL,Author
"$ 13 26 ",An Automation Primer for School Library Media Centers,https://www.amazon.com/Automation-Primer-School-Library-Centers/dp/1586831801/ref=sr_1_78?s=books&ie=UTF8&qid=1539787735&sr=1-78&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Barbara Schultz-Jones
"$ 64 85 ","Automation Network Selection: A Reference Manual, Third Edition",https://www.amazon.com/Automation-Network-Selection-Reference-Manual/dp/1941546803/ref=sr_1_79?s=books&ie=UTF8&qid=1539787735&sr=1-79&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Dick Caro
"$ 22 46 ",Essential Electronic Design Automation (EDA),https://www.amazon.com/Essential-Electronic-Design-Automation-EDA/dp/0131828290/ref=sr_1_80?s=books&ie=UTF8&qid=1539787735&sr=1-80&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Mark D. Birnbaum
"$ 13 97 ",,,
"$ 9 99 ",Computer Automation for Everyone: A Stairway to Users,https://www.amazon.com/dp/1728820049/ref=sr_1_82?s=books&ie=UTF8&qid=1539787735&sr=1-82&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by James Wills
"$ 9 99 ",Website Automation for Everyone: A Stairway to Users (Computer Automation),https://www.amazon.com/Website-Automation-Everyone-Stairway-Computer/dp/1726828131/ref=sr_1_83?s=books&ie=UTF8&qid=1539787735&sr=1-83&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by James Wills
"$ 89 00 ",The Value of Automation: The Best Investment an Industrial Company Can Make,https://www.amazon.com/Value-Automation-Investment-Industrial-Company/dp/0876640927/ref=sr_1_84?s=books&ie=UTF8&qid=1539787735&sr=1-84&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Peter G. Martin PhD
,Industrial Automation : Circuit Design And Components,https://www.amazon.com/Industrial-Automation-Circuit-Design-Components/dp/8126529881/ref=sr_1_85?s=books&ie=UTF8&qid=1539787739&sr=1-85&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Pessen
"$ 8 19 ",,,
"$ 14 99 ",Home Automation and Security Projects for Raspberry Pi (Book 2),https://www.amazon.com/Home-Automation-Security-Projects-Raspberry/dp/1521285950/ref=sr_1_87?s=books&ie=UTF8&qid=1539787739&sr=1-87&keywords=automation&refinements=p_n_feature_browse-bin%3A2656022011,by Tim Rustige
"$ 39 99 ",,,
"$ 49 99 ",,,
